gene,mean_vcm3,mean_rest,log2fc,pval,fdr
CYP2U1,0.097458914,0.11784806,-0.2740593,0.39544282878633585,0.7230646306126297
ZNF587,0.14231378,0.1357592,0.068024874,0.3954640171767655,0.72296247255503
CISH,0.037480146,0.050945405,-0.4428153,0.3956181351994663,0.7231033205613469
HP,0.050219167,0.05492174,-0.12913656,0.39625039840423215,0.7241178881629345
FLOT2,0.05689693,0.06488676,-0.18957019,0.3964085594804485,0.7242658432415907
SRPK3,0.18521237,0.1730577,0.097926855,0.39656289968965475,0.7244067610763903
ST6GALNAC3,0.047354918,0.05524916,-0.22243404,0.39665359147347634,0.7244313792493975
HM13,0.23574519,0.24069652,-0.029986858,0.3968157100900698,0.7245864134030818
ENSG00000258580,0.12918815,0.13847068,-0.100106,0.3968176403143845,0.7244489397605672
BNIP1,0.07731071,0.07590378,0.026496172,0.39687554967816663,0.7244136978755952
ACAA1,0.19870861,0.21011706,-0.08053851,0.39695856199094615,0.7244242809957316
ZNF337,0.1413887,0.13783732,0.03670001,0.3969933144412048,0.7243468059290905
NECTIN3,0.103825904,0.11773601,-0.18138766,0.39739116761441895,0.7249317391713939
ZNF484,0.058558766,0.05936715,-0.019779205,0.3974568558093351,0.7249106184298565
DNAJC3-DT,0.06875134,0.08266799,-0.26593733,0.3975727921232082,0.7249811342468298
FMO4,0.11637227,0.1174043,-0.012737751,0.3976017793870279,0.7248931003126886
MRPL48,0.12415851,0.12961067,-0.06200099,0.3976906816073429,0.724914314132522
TAF2,0.26874664,0.27227464,-0.018815756,0.39772160692731284,0.724829859400165
